Phone_name,Phone_Image,Price,Score,Network,Technical,Storage,Battery,Display,Camera,OS,Extra
OnePlus 11R,https://cdn1.smartprix.com/rx-iTWs9Sy4Y-w280-h280/oneplus-11r.webp,"₹39,999",85,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC, IR Blaster","Snapdragon 8+ Gen1, Octa Core, 3.2 GHz Processor","8 GB RAM, 128 GB inbuilt",5000 mAh Battery with 100W Fast Charging,"6.74 inches, 1240 x 2772 px, 120 Hz Display with Punch Hole",50 MP + 8 MP + 2 MP Triple Rear & 16 MP Front Camera,Android v13,No FM Radio
OnePlus Nord CE 2 Lite 5G,https://cdn1.smartprix.com/rx-iGNlyOFEo-w280-h280/oneplus-nord-ce-2-li.webp,"₹18,999",81,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi","Snapdragon 695, Octa Core, 2.2 GHz Processor","6 GB RAM, 128 GB inbuilt",5000 mAh Battery with 33W Fast Charging,"6.59 inches, 1080 x 2412 px, 120 Hz Display with Punch Hole",64 MP + 2 MP + 2 MP Triple Rear & 16 MP Front Camera,Android v12,"Memory Card (Hybrid), upto 1 TB"
OnePlus 11 5G,https://cdn1.smartprix.com/rx-imSZ0NvFh-w280-h280/oneplus-11-5g.webp,"₹56,822",89,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC","Snapdragon 8 Gen2, Octa Core, 3.2 GHz Processor","8 GB RAM, 128 GB inbuilt",5000 mAh Battery with 100W Fast Charging,"6.7 inches, 1440 x 3216 px, 120 Hz Display with Punch Hole",50 MP + 48 MP + 32 MP Triple Rear & 16 MP Front Camera,Android v13,Memory Card Not Supported
OnePlus Nord 2T 5G,https://cdn1.smartprix.com/rx-iKfFMUC30-w280-h280/oneplus-nord-2t-5g.webp,"₹28,999",84,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC","Dimensity  1300, Octa Core, 3 GHz Processor","8 GB RAM, 128 GB inbuilt",4500 mAh Battery with 80W Fast Charging,"6.43 inches, 1080 x 2400 px, 90 Hz Display with Punch Hole",50 MP + 8 MP + 2 MP Triple Rear & 32 MP Front Camera,Android v12,No FM Radio
OnePlus 11R (16GB RAM + 256GB),https://cdn1.smartprix.com/rx-itKcLWDTz-w280-h280/oneplus-11r-16gb-ram.webp,"₹44,999",87,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC, IR Blaster","Snapdragon 8+ Gen1, Octa Core, 3.2 GHz Processor","16 GB RAM, 256 GB inbuilt",5000 mAh Battery with 100W Fast Charging,"6.74 inches, 1240 x 2772 px, 120 Hz Display with Punch Hole",50 MP + 8 MP + 2 MP Triple Rear & 16 MP Front Camera,Android v13,No FM Radio
OnePlus 10R 5G,https://cdn1.smartprix.com/rx-isQGrvCAx-w280-h280/oneplus-10r-5g.webp,"₹34,498",86,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC","Dimensity 8100 Max, Octa Core, 2.85 GHz Processor","8 GB RAM, 128 GB inbuilt",5000 mAh Battery with 80W Fast Charging,"6.7 inches, 1080 x 2412 px, 120 Hz Display with Punch Hole",50 MP + 8 MP + 2 MP Triple Rear & 16 MP Front Camera,Android v12,Bluetooth
OnePlus 11 (16GB RAM + 256GB),https://cdn1.smartprix.com/rx-i9TvsQgkm-w280-h280/oneplus-11-16gb-ram.webp,"₹61,990",90,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC","Snapdragon 8 Gen2, Octa Core, 3.2 GHz Processor","16 GB RAM, 256 GB inbuilt",5000 mAh Battery with 100W Fast Charging,"6.7 inches, 1440 x 3216 px, 120 Hz Display with Punch Hole",50 MP + 48 MP + 32 MP Triple Rear & 16 MP Front Camera,Android v13,Memory Card Not Supported
OnePlus 10 Pro 5G,https://cdn1.smartprix.com/rx-ixH3TGWPr-w280-h280/oneplus-10-pro-5g.webp,"₹57,790",89,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC","Snapdragon  8 Gen1, Octa Core, 3 GHz Processor","8 GB RAM, 128 GB inbuilt",5000 mAh Battery with 80W Fast Charging,"6.7 inches, 1440 x 3216 px, 120 Hz Display with Punch Hole",50 MP + 48 MP + 8 MP Triple Rear & 32 MP Front Camera,Android v12,No FM Radio
OnePlus Nord 2T (12GB RAM + 256GB),https://cdn1.smartprix.com/rx-ioKTQfBn2-w280-h280/oneplus-nord-2t-12gb.webp,"₹33,999",85,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC","Dimensity  1300, Octa Core, 3 GHz Processor","12 GB RAM, 256 GB inbuilt",4500 mAh Battery with 80W Fast Charging,"6.43 inches, 1080 x 2400 px, 90 Hz Display with Punch Hole",50 MP + 8 MP + 2 MP Triple Rear & 32 MP Front Camera,Android v12,No FM Radio
OnePlus 10T,https://cdn1.smartprix.com/rx-iJ130XcOh-w280-h280/oneplus-10t.webp,"₹48,990",85,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC","Snapdragon 8+ Gen1, Octa Core, 3.2 GHz Processor","8 GB RAM, 128 GB inbuilt",4800 mAh Battery with 150W Fast Charging,"6.7 inches, 1080 x 2412 px, 120 Hz Display with Punch Hole",50 MP + 8 MP + 2 MP Triple Rear & 16 MP Front Camera,Android v12,No FM Radio
OnePlus 10R 5G (12GB RAM + 256GB),https://cdn1.smartprix.com/rx-iT3jzTHCC-w280-h280/oneplus-10r-5g-12gb.webp,"₹38,999",87,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC","Dimensity 8100 Max, Octa Core, 2.85 GHz Processor","12 GB RAM, 256 GB inbuilt",5000 mAh Battery with 80W Fast Charging,"6.7 inches, 1080 x 2412 px, 120 Hz Display with Punch Hole",50 MP + 8 MP + 2 MP Triple Rear & 16 MP Front Camera,Android v12,Bluetooth
OnePlus 10 Pro 5G (12GB RAM + 256GB),https://cdn1.smartprix.com/rx-iF7sjGtNc-w280-h280/oneplus-10-pro-5g-12.webp,"₹64,999",90,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC","Snapdragon  8 Gen1, Octa Core, 3 GHz Processor","12 GB RAM, 256 GB inbuilt",5000 mAh Battery with 80W Fast Charging,"6.7 inches, 1440 x 3216 px, 120 Hz Display with Punch Hole",50 MP + 48 MP + 8 MP Triple Rear & 32 MP Front Camera,Android v12,No FM Radio
OnePlus 10R Prime Edition,https://cdn1.smartprix.com/rx-ibifUejhZ-w280-h280/oneplus-10r-prime-ed.webp,"₹35,900",85,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC","Dimensity 8100 Max, Octa Core, 2.85 GHz Processor","8 GB RAM, 128 GB inbuilt",5000 mAh Battery with 80W Fast Charging,"6.7 inches, 1080 x 2412 px, 120 Hz Display with Punch Hole",50 MP + 8 MP + 2 MP Triple Rear & 16 MP Front Camera,Android v12,Bluetooth
OnePlus 10T (12GB RAM + 256GB),https://cdn1.smartprix.com/rx-iRrBv0Pha-w280-h280/oneplus-10t-12gb-ram.webp,"₹52,699",87,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC","Snapdragon 8+ Gen1, Octa Core, 3.2 GHz Processor","12 GB RAM, 256 GB inbuilt",4800 mAh Battery with 150W Fast Charging,"6.7 inches, 1080 x 2412 px, 120 Hz Display with Punch Hole",50 MP + 8 MP + 2 MP Triple Rear & 16 MP Front Camera,Android v12,No FM Radio
OnePlus 10T (16GB RAM + 256GB),https://cdn1.smartprix.com/rx-iEzTnszoA-w280-h280/oneplus-10t-16gb-ram.webp,"₹55,999",87,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC","Snapdragon 8+ Gen1, Octa Core, 3.2 GHz Processor","16 GB RAM, 256 GB inbuilt",4800 mAh Battery with 150W Fast Charging,"6.7 inches, 1080 x 2412 px, 120 Hz Display with Punch Hole",50 MP + 8 MP + 2 MP Triple Rear & 16 MP Front Camera,Android v12,No FM Radio
OnePlus Nord CE 2 Lite 5G (8GB RAM + 128GB),https://cdn1.smartprix.com/rx-igjlSYJeV-w280-h280/oneplus-nord-ce-2-li.webp,"₹20,999",84,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi","Snapdragon 695, Octa Core, 2.2 GHz Processor","8 GB RAM, 128 GB inbuilt",5000 mAh Battery with 33W Fast Charging,"6.59 inches, 1080 x 2412 px, 120 Hz Display with Punch Hole",64 MP + 2 MP + 2 MP Triple Rear & 16 MP Front Camera,Android v12,"Memory Card (Hybrid), upto 1 TB"
OnePlus Nord N20 SE,https://cdn1.smartprix.com/rx-iiTV4RWcM-w280-h280/oneplus-nord-n20-se.webp,"₹14,590",72,"Dual Sim, 3G, 4G, VoLTE, Wi-Fi","Helio G35, Octa Core, 2.3 GHz Processor","4 GB RAM, 64 GB inbuilt",5000 mAh Battery with 33W Fast Charging,"6.56 inches, 720 x 1612 px Display with Water Drop Notch",50 MP + 2 MP Dual Rear & 8 MP Front Camera,Android v12,"Memory Card Supported, upto 1 TB"
OnePlus 10R 5G (150W),https://cdn1.smartprix.com/rx-iVExnQEPA-w280-h280/oneplus-10r-5g-150w.webp,"₹39,999",87,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC","Dimensity 8100 Max, Octa Core, 2.85 GHz Processor","12 GB RAM, 256 GB inbuilt",4500 mAh Battery with 150W Fast Charging,"6.7 inches, 1080 x 2412 px, 120 Hz Display with Punch Hole",50 MP + 8 MP + 2 MP Triple Rear & 16 MP Front Camera,Android v12,Bluetooth
